PAZCenter	PAZAverage	PAArea	PAVolume	PAPerimeter	PALength	PAWidth	PAMaxDistance	PACEDiameter	PACircularity	PARectangularity	PAConvexity	PASolidity	PAMajorAngle	PAAspectRatio	PAElongation	PAHullPerimeter
3.48909e-09	2.88324e-09	2.03871e-16	5.8781e-25	5.75119e-08	2.22007e-08	1.1577e-08	2.22512e-08	1.61114e-08	0.774551	0.6	0.949311	1.12	124.824	0.521472	0.478528	5.45967e-08
2.20765e-09		0	0	7.63209e-09	3.81605e-09	7.00997e-25	3.81605e-09	0	0	1	1		180	1.83697e-16	1	7.63209e-09
2.56044e-09	2.49614e-09	4.36866e-17	1.09048e-25	2.60576e-08	1.20554e-08	3.56274e-09	1.20674e-08	7.45812e-09	0.808518	0.625	0.973911	2	20.9936	0.295531	0.704469	2.53778e-08
2.14363e-09		0	0	7.63209e-09	3.81605e-09	1.40247e-23	3.81605e-09	0	0	1	1		90	3.67518e-15	1	7.63209e-09
2.41112e-09	2.41112e-09	1.45622e-17	3.51113e-26	1.30288e-08	5.39671e-09	2.69835e-09	5.39671e-09	4.30595e-09	1.07802	0.75	1	2	135	0.5	0.5	1.30288e-08
2.22208e-09		0	0	0	0	0	0	0		1			90			0
3.82128e-09	3.47963e-09	8.73733e-17	3.04027e-25	4.13218e-08	1.69472e-08	9.7666e-09	1.70659e-08	1.05474e-08	0.643029	0.8	0.983548	0.923077	160.195	0.576294	0.423706	4.0642e-08
1.09053e-08	6.71634e-09	7.42673e-16	4.98805e-24	9.97596e-08	3.46659e-08	2.70423e-08	3.51822e-08	3.07506e-08	0.937773	0.7375	0.979556	1.05155	177.299	0.780083	0.219917	9.77202e-08
2.4841e-09	2.41997e-09	2.91244e-17	7.04802e-26	2.06609e-08	8.44718e-09	4.82696e-09	8.53294e-09	6.08953e-09	0.857372	0.833333	1	1.33333	161.565	0.571429	0.428571	2.06609e-08
3.42193e-09	3.04585e-09	1.3106e-16	3.99189e-25	3.90864e-08	1.34918e-08	1.07934e-08	1.3759e-08	1.29178e-08	1.07802	0.8125	1	1.2	45	0.8	0.2	3.90864e-08
2.07733e-09		0	0	0	0	0	0	0		1			180			0
2.34001e-09	2.30638e-09	1.45622e-17	3.35859e-26	1.52642e-08	3.81605e-09	3.81605e-09	5.39671e-09	4.30595e-09	0.785398	1	1	1	90	1	0	1.52642e-08
2.61926e-09		0	0	1.52642e-08	7.63209e-09	1.40199e-24	7.63209e-09	0	0	1	1		180	1.83697e-16	1	1.52642e-08
7.94524e-09	5.62955e-09	4.51429e-16	2.54134e-24	7.59374e-08	2.7728e-08	2.02739e-08	2.77812e-08	2.39745e-08	0.983756	0.770833	0.991048	1.10714	167.601	0.731171	0.268829	7.52576e-08
3.44512e-09	2.86259e-09	7.28111e-17	2.08428e-25	3.14543e-08	1.2061e-08	8.48199e-09	1.20674e-08	9.62839e-09	0.924799	0.75	1	1.11111	159.699	0.703257	0.296743	3.14543e-08
2.45954e-09	2.64924e-09	1.45622e-17	3.85788e-26	2.06609e-08	8.44718e-09	4.82696e-09	8.53294e-09	4.30595e-09	0.428686	0.833333	1	0.666667	161.565	0.571429	0.428571	2.06609e-08
4.34229e-09	3.77297e-09	1.89309e-16	7.14256e-25	5.43506e-08	2.02441e-08	1.27761e-08	2.055e-08	1.55253e-08	0.805327	0.833333	0.987492	1	168.097	0.631103	0.368897	5.36708e-08
2.71484e-09	2.22402e-09	1.45622e-17	3.23867e-26	2.06609e-08	8.44718e-09	4.82696e-09	8.53294e-09	4.30595e-09	0.428686	0.833333	1	0.666667	161.565	0.571429	0.428571	2.06609e-08
2.90315e-09	2.52777e-09	5.82489e-17	1.4724e-25	2.60576e-08	7.63209e-09	7.63209e-09	8.53294e-09	8.6119e-09	1.07802	0.777778	1	1.33333	90	1	0	2.60576e-08
2.4586e-09	2.07349e-09	1.45622e-17	3.01946e-26	1.52642e-08	3.81605e-09	3.81605e-09	5.39671e-09	4.30595e-09	0.785398	1	1	1	180	1	0	1.52642e-08
5.21743e-09	3.86433e-09	2.18433e-16	8.44099e-25	5.52765e-08	1.94581e-08	1.57162e-08	1.94581e-08	1.66769e-08	0.898353	0.7	0.987702	1.03448	11.3099	0.807692	0.192308	5.45967e-08
3.04057e-09	2.59878e-09	4.36866e-17	1.13532e-25	2.60576e-08	7.63209e-09	7.63209e-09	8.53294e-09	7.45812e-09	0.808518	0.777778	1	1	180	1	0	2.60576e-08
4.2116e-09	3.58498e-09	1.60184e-16	5.74258e-25	4.67185e-08	1.58533e-08	1.20509e-08	1.70659e-08	1.42812e-08	0.922258	0.8	0.985449	1.1	175.163	0.760148	0.239852	4.60387e-08
2.95185e-09	2.73652e-09	2.91244e-17	7.96995e-26	1.84255e-08	7.63209e-09	3.81605e-09	7.63209e-09	6.08953e-09	1.07802	0.666667	1	2	180	0.5	0.5	1.84255e-08
2.12227e-09		0	0	0	0	0	0	0		1			90			0
2.27349e-09		0	0	7.63209e-09	3.81605e-09	7.00997e-25	3.81605e-09	0	0	1	1		180	1.83697e-16	1	7.63209e-09
2.25692e-09		0	0	7.63209e-09	3.81605e-09	1.40247e-23	3.81605e-09	0	0	1	1		90	3.67518e-15	1	7.63209e-09
2.89652e-09	2.69542e-09	2.91244e-17	7.85025e-26	1.84255e-08	7.63209e-09	3.81605e-09	7.63209e-09	6.08953e-09	1.07802	0.666667	1	2	180	0.5	0.5	1.84255e-08
2.93177e-09	2.34166e-09	2.91244e-17	6.81995e-26	2.28963e-08	7.63209e-09	3.81605e-09	8.53294e-09	6.08953e-09	0.698132	1	1	1	180	0.5	0.5	2.28963e-08
2.17511e-09		0	0	0	0	0	0	0		1			180			0
8.0368e-09	5.3822e-09	9.02857e-16	4.85936e-24	1.28053e-07	4.94797e-08	2.65551e-08	4.96086e-08	3.39051e-08	0.691914	0.653846	0.94644	1.02479	161.511	0.536686	0.463314	1.21194e-07
3.54585e-09	3.55423e-09	2.91244e-16	1.03515e-24	8.26436e-08	3.23658e-08	1.63441e-08	3.23802e-08	1.92568e-08	0.535857	0.55102	0.918247	0.851064	46.7115	0.50498	0.49502	7.58872e-08
2.15482e-09		0	0	0	0	0	0	0		1			180			0
2.4825e-09	2.60941e-09	2.91244e-17	7.59975e-26	2.06609e-08	8.44718e-09	3.62022e-09	8.53294e-09	6.08953e-09	0.857372	0.666667	1	4	108.435	0.428571	0.571429	2.06609e-08
3.5819e-09	2.87934e-09	5.82489e-17	1.67718e-25	3.14543e-08	1.15831e-08	8.44661e-09	1.20674e-08	8.6119e-09	0.739839	0.666667	0.978387	1	124.722	0.729217	0.270783	3.07745e-08
2.42788e-09		0	0	7.63209e-09	3.81605e-09	7.00997e-25	3.81605e-09	0	0	1	1		180	1.83697e-16	1	7.63209e-09
4.53482e-09	3.47156e-09	2.03871e-16	7.07751e-25	5.21152e-08	2.04e-08	1.20441e-08	2.055e-08	1.61114e-08	0.943271	0.666667	0.960867	1.33333	165.128	0.590397	0.409603	5.00758e-08
2.90808e-09	2.75696e-09	5.82489e-17	1.6059e-25	3.05284e-08	7.63209e-09	7.63209e-09	1.07934e-08	8.6119e-09	0.785398	1	1	1	180	1	0	3.05284e-08
3.50874e-09	3.25111e-09	2.91244e-17	9.46866e-26	2.06609e-08	8.44718e-09	4.82696e-09	8.53294e-09	6.08953e-09	0.857372	0.833333	1	1.33333	161.565	0.571429	0.428571	2.06609e-08
3.33435e-09	3.52632e-09	1.01935e-16	3.59457e-25	4.67185e-08	1.5732e-08	1.24727e-08	1.61901e-08	1.13925e-08	0.586891	0.75	0.911754	0.933333	31.3381	0.792822	0.207178	4.25958e-08
2.14649e-09		0	0	0	0	0	0	0		1			180			0
2.30014e-09		0	0	7.63209e-09	3.81605e-09	7.00997e-25	3.81605e-09	0	0	1	1		180	1.83697e-16	1	7.63209e-09
2.77687e-09	2.42179e-09	2.91244e-17	7.05332e-26	2.28963e-08	7.63209e-09	3.81605e-09	8.53294e-09	6.08953e-09	0.698132	1	1	1	180	0.5	0.5	2.28963e-08
2.95518e-09	2.98088e-09	2.91244e-17	8.68163e-26	2.06609e-08	8.44718e-09	4.82696e-09	8.53294e-09	6.08953e-09	0.857372	0.833333	1	1.33333	161.565	0.571429	0.428571	2.06609e-08
2.48528e-09		0	0	7.63209e-09	3.81605e-09	7.00997e-25	3.81605e-09	0	0	1	1		180	1.83697e-16	1	7.63209e-09
4.92416e-09	3.56881e-09	1.74747e-16	6.23637e-25	4.98798e-08	1.70168e-08	1.50565e-08	1.70659e-08	1.49162e-08	0.88261	0.72	1	1.04348	120.911	0.884802	0.115198	4.98798e-08
5.49241e-09	4.14873e-09	2.03871e-16	8.45806e-25	5.75119e-08	1.94445e-08	1.56771e-08	1.94581e-08	1.61114e-08	0.774551	0.7	0.964539	0.933333	170.835	0.806252	0.193748	5.54725e-08
2.92522e-09	2.76862e-09	5.82489e-17	1.61269e-25	2.60576e-08	7.63209e-09	7.63209e-09	8.53294e-09	8.6119e-09	1.07802	0.777778	1	1.33333	1.27629e-09	1	0	2.60576e-08
2.2667e-09	2.48155e-09	1.45622e-17	3.61369e-26	1.30288e-08	5.39671e-09	2.69835e-09	5.39671e-09	4.30595e-09	1.07802	0.75	1	2	45	0.5	0.5	1.30288e-08
2.73505e-09	2.5609e-09	4.36866e-17	1.11877e-25	2.8293e-08	1.18809e-08	4.88388e-09	1.20674e-08	7.45812e-09	0.685805	0.875	1	1.2	8.34962	0.411069	0.588931	2.8293e-08
2.13606e-09		0	0	7.63209e-09	3.81605e-09	7.00997e-25	3.81605e-09	0	0	1	1		180	1.83697e-16	1	7.63209e-09
3.68177e-09	2.96838e-09	1.01935e-16	3.02584e-25	3.6851e-08	1.52642e-08	7.63209e-09	1.52642e-08	1.13925e-08	0.943271	0.733333	1	1.16667	180	0.5	0.5	3.6851e-08
1.18845e-08	8.07126e-09	1.03392e-15	8.34502e-24	1.23965e-07	4.30999e-08	2.85229e-08	4.46657e-08	3.62826e-08	0.845464	0.885417	0.987655	1.00709	175.233	0.661785	0.338215	1.22435e-07
2.1123e-09		0	0	7.63209e-09	3.81605e-09	7.00997e-25	3.81605e-09	0	0	1	1		180	1.83697e-16	1	7.63209e-09
2.2802e-09		0	0	0	0	0	0	0		1			90			0
2.61853e-09	2.10019e-09	1.45622e-17	3.05834e-26	2.06609e-08	8.44718e-09	4.82696e-09	8.53294e-09	4.30595e-09	0.428686	0.833333	1	0.666667	161.565	0.571429	0.428571	2.06609e-08
2.14406e-09		0	0	7.63209e-09	3.81605e-09	7.00997e-25	3.81605e-09	0	0	1	1		180	1.83697e-16	1	7.63209e-09
2.52191e-09	2.5286e-09	1.45622e-17	3.68221e-26	1.52642e-08	3.81605e-09	3.81605e-09	5.39671e-09	4.30595e-09	0.785398	1	1	1	180	1	0	1.52642e-08
3.03285e-09	2.70387e-09	1.16498e-16	3.14994e-25	3.6851e-08	1.19461e-08	1.19461e-08	1.20674e-08	1.21791e-08	1.07802	0.625	0.963105	1.33333	153.435	1	0	3.54914e-08
